Battalion,90th Percentile Response Time: Seconds,90th Percentile Response Time: Minutes,90th Percentile Response Time: Time Delta
B01,1356.0,22.6,0 days 00:22:36
B02,1227.0,20.45,0 days 00:20:27
B03,1328.0,22.133333333333333,0 days 00:22:08
B04,1296.2999999999993,21.604999999999986,0 days 00:21:36.300000
B05,1282.0,21.366666666666667,0 days 00:21:22
B06,1332.0,22.2,0 days 00:22:12
B07,1376.0,22.933333333333334,0 days 00:22:56
B08,1370.0,22.833333333333332,0 days 00:22:50
B09,1339.0,22.316666666666666,0 days 00:22:19
B10,1309.0,21.816666666666666,0 days 00:21:49
B99,1478.000000000001,24.633333333333347,0 days 00:24:38
