Offer,Total Cost of Loan,Down Payment,Principle,Rate,Down Payment: Percent of Total Offer,Monthly Payment,25% Total Cost of Loan,30% Total Cost of Loan,25% of Total Monthly Payment,30% of Total Monthly Payment,25% of Down Payment,30% of Down Payment,Rent 1,Rent 2,Rent 3,25% Payment - 25% Rent 1,30% Payment - 30% Rent 1,25% Payment - 25% Rent 2,30% Payment - 30% Rent 2,25% Payment - 25% Rent 3,30% Payment - 30 % Rent 3
825000,645550.4734570738,400000,425000,0.06,0.48484848484848486,3586.3915192059653,161387.61836426845,193665.14203712213,896.5978798014913,1075.9174557617896,100000.0,120000.0,5000,6000,7000,584.0978798014913,625.9174557617896,521.5978798014913,535.9174557617896,459.09787980149133,445.9174557617896
800000,645550.4734570738,375000,425000,0.06,0.46875,3586.3915192059653,161387.61836426845,193665.14203712213,896.5978798014913,1075.9174557617896,93750.0,112500.0,5000,6000,7000,584.0978798014913,625.9174557617896,521.5978798014913,535.9174557617896,459.09787980149133,445.9174557617896
775000,645550.4734570738,350000,425000,0.06,0.45161290322580644,3586.3915192059653,161387.61836426845,193665.14203712213,896.5978798014913,1075.9174557617896,87500.0,105000.0,5000,6000,7000,584.0978798014913,625.9174557617896,521.5978798014913,535.9174557617896,459.09787980149133,445.9174557617896
750000,645550.4734570738,325000,425000,0.06,0.43333333333333335,3586.3915192059653,161387.61836426845,193665.14203712213,896.5978798014913,1075.9174557617896,81250.0,97500.0,5000,6000,7000,584.0978798014913,625.9174557617896,521.5978798014913,535.9174557617896,459.09787980149133,445.9174557617896
725000,645550.4734570738,300000,425000,0.06,0.41379310344827586,3586.3915192059653,161387.61836426845,193665.14203712213,896.5978798014913,1075.9174557617896,75000.0,90000.0,5000,6000,7000,584.0978798014913,625.9174557617896,521.5978798014913,535.9174557617896,459.09787980149133,445.9174557617896
825000,666397.1344524847,400000,425000,0.065,0.48484848484848486,3702.2063025138036,166599.28361312117,199919.14033574538,925.5515756284509,1110.661890754141,100000.0,120000.0,5000,6000,7000,613.0515756284509,660.661890754141,550.5515756284509,570.661890754141,488.0515756284509,480.66189075414104
800000,666397.1344524847,375000,425000,0.065,0.46875,3702.2063025138036,166599.28361312117,199919.14033574538,925.5515756284509,1110.661890754141,93750.0,112500.0,5000,6000,7000,613.0515756284509,660.661890754141,550.5515756284509,570.661890754141,488.0515756284509,480.66189075414104
775000,666397.1344524847,350000,425000,0.065,0.45161290322580644,3702.2063025138036,166599.28361312117,199919.14033574538,925.5515756284509,1110.661890754141,87500.0,105000.0,5000,6000,7000,613.0515756284509,660.661890754141,550.5515756284509,570.661890754141,488.0515756284509,480.66189075414104
750000,666397.1344524847,325000,425000,0.065,0.43333333333333335,3702.2063025138036,166599.28361312117,199919.14033574538,925.5515756284509,1110.661890754141,81250.0,97500.0,5000,6000,7000,613.0515756284509,660.661890754141,550.5515756284509,570.661890754141,488.0515756284509,480.66189075414104
725000,666397.1344524847,300000,425000,0.065,0.41379310344827586,3702.2063025138036,166599.28361312117,199919.14033574538,925.5515756284509,1110.661890754141,75000.0,90000.0,5000,6000,7000,613.0515756284509,660.661890754141,550.5515756284509,570.661890754141,488.0515756284509,480.66189075414104
