 Offer , Total Cost of Loan , Down Payment , Principle ,Rate,Down Payment: Percent of Total Offer, Monthly Payment , 25% Total Cost of Loan , 30% Total Cost of Loan , 25% of Total Monthly Payment , 30% of Total Monthly Payment , 25% of Down Payment , 30% of Down Payment , Rent 1 , Rent 2 , Rent 3 , 25% Payment - R1 , 30% Payment - R1 , 25% Payment - R2 , 30% Payment - R2 , 25% Payment - R3 , 30% Payment - R3 ,Total Paid After 5 Years,Amount Left to Pay for Us at 25% Ownership,Amount Left to Pay for Us at 30% Ownership,Save a Month for us at 25% Ownership,Save a Month for us at 30% Ownership
" $725,000.00 "," $645,550.47 "," $300,000.00 "," $425,000.00 ",6.0%,41.4%," $3,586.39 "," $161,387.62 "," $193,665.14 ", $896.60 ," $1,075.92 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(353.40), $(424.08), $(603.40), $(724.08), $(853.40)," $(1,024.08)"," $215,183.49 "," $107,591.75 "," $129,110.09 "," $1,793.20 "," $2,151.83 "
" $725,000.00 "," $666,397.13 "," $300,000.00 "," $425,000.00 ",6.5%,41.4%," $3,702.21 "," $166,599.28 "," $199,919.14 ", $925.55 ," $1,110.66 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(324.45), $(389.34), $(574.45), $(689.34), $(824.45), $(989.34)," $222,132.38 "," $111,066.19 "," $133,279.43 "," $1,851.10 "," $2,221.32 "
" $725,000.00 "," $687,603.63 "," $300,000.00 "," $425,000.00 ",7.0%,41.4%," $3,820.02 "," $171,900.91 "," $206,281.09 ", $955.01 ," $1,146.01 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(294.99), $(353.99), $(544.99), $(653.99), $(794.99), $(953.99)," $229,201.21 "," $114,600.60 "," $137,520.73 "," $1,910.01 "," $2,292.01 "
" $725,000.00 "," $709,164.46 "," $300,000.00 "," $425,000.00 ",7.5%,41.4%," $3,939.80 "," $177,291.11 "," $212,749.34 ", $984.95 ," $1,181.94 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(265.05), $(318.06), $(515.05), $(618.06), $(765.05), $(918.06)," $236,388.15 "," $118,194.08 "," $141,832.89 "," $1,969.90 "," $2,363.88 "
" $750,000.00 "," $645,550.47 "," $325,000.00 "," $425,000.00 ",6.0%,43.3%," $3,586.39 "," $161,387.62 "," $193,665.14 ", $896.60 ," $1,075.92 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(353.40), $(424.08), $(603.40), $(724.08), $(853.40)," $(1,024.08)"," $215,183.49 "," $107,591.75 "," $129,110.09 "," $1,793.20 "," $2,151.83 "
" $750,000.00 "," $666,397.13 "," $325,000.00 "," $425,000.00 ",6.5%,43.3%," $3,702.21 "," $166,599.28 "," $199,919.14 ", $925.55 ," $1,110.66 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(324.45), $(389.34), $(574.45), $(689.34), $(824.45), $(989.34)," $222,132.38 "," $111,066.19 "," $133,279.43 "," $1,851.10 "," $2,221.32 "
" $750,000.00 "," $687,603.63 "," $325,000.00 "," $425,000.00 ",7.0%,43.3%," $3,820.02 "," $171,900.91 "," $206,281.09 ", $955.01 ," $1,146.01 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(294.99), $(353.99), $(544.99), $(653.99), $(794.99), $(953.99)," $229,201.21 "," $114,600.60 "," $137,520.73 "," $1,910.01 "," $2,292.01 "
" $750,000.00 "," $709,164.46 "," $325,000.00 "," $425,000.00 ",7.5%,43.3%," $3,939.80 "," $177,291.11 "," $212,749.34 ", $984.95 ," $1,181.94 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(265.05), $(318.06), $(515.05), $(618.06), $(765.05), $(918.06)," $236,388.15 "," $118,194.08 "," $141,832.89 "," $1,969.90 "," $2,363.88 "
" $750,000.00 "," $683,524.03 "," $300,000.00 "," $450,000.00 ",6.0%,40.0%," $3,797.36 "," $170,881.01 "," $205,057.21 ", $949.34 ," $1,139.21 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(300.66), $(360.79), $(550.66), $(660.79), $(800.66), $(960.79)," $227,841.34 "," $113,920.67 "," $136,704.81 "," $1,898.68 "," $2,278.41 "
" $750,000.00 "," $705,596.97 "," $300,000.00 "," $450,000.00 ",6.5%,40.0%," $3,919.98 "," $176,399.24 "," $211,679.09 ", $980.00 ," $1,175.99 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(270.00), $(324.01), $(520.00), $(624.01), $(770.00), $(924.01)," $235,198.99 "," $117,599.49 "," $141,119.39 "," $1,959.99 "," $2,351.99 "
" $750,000.00 "," $728,050.90 "," $300,000.00 "," $450,000.00 ",7.0%,40.0%," $4,044.73 "," $182,012.72 "," $218,415.27 "," $1,011.18 "," $1,213.42 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(238.82), $(286.58), $(488.82), $(586.58), $(738.82), $(886.58)," $242,683.63 "," $121,341.82 "," $145,610.18 "," $2,022.36 "," $2,426.84 "
" $750,000.00 "," $750,880.01 "," $300,000.00 "," $450,000.00 ",7.5%,40.0%," $4,171.56 "," $187,720.00 "," $225,264.00 "," $1,042.89 "," $1,251.47 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(207.11), $(248.53), $(457.11), $(548.53), $(707.11), $(848.53)," $250,293.34 "," $125,146.67 "," $150,176.00 "," $2,085.78 "," $2,502.93 "
